UNIVERSITAS;PROGRAM STUDI;JENJANG;KEKETATAN;DAYA TAMPUNG 2024;PEMINAT;RATA-RATA;Column1
UNIVERSITAS GADJAH MADA;KIMIA;S1;15,6133829;42;269;644.12;FALSE
UNIVERSITAS GADJAH MADA;MANAJEMEN;S1;1,950585176;45;2307;584.32;FALSE
UNIVERSITAS GADJAH MADA;MANAJEMEN DAN KEBIJAKAN PUBLIK;S1;3,243243243;24;740;668.71;FALSE
UNIVERSITAS GADJAH MADA;MANAJEMEN DAN PENILAIAN PROPERTI;D4;7,633587786;30;393;596.84;FALSE
UNIVERSITAS GADJAH MADA;MANAJEMEN INFORMASI KESEHATAN;D4;5,546995378;36;649;573.83;FALSE
UNIVERSITAS GADJAH MADA;MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN);S1;13,77245509;23;167;641.71;FALSE
UNIVERSITAS GADJAH MADA;MATEMATIKA;S1;7,407407407;24;324;592.1;FALSE
UNIVERSITAS GADJAH MADA;MIKROBIOLOGI PERTANIAN;S1;6,707317073;11;164;621.59;FALSE
UNIVERSITAS GADJAH MADA;PARIWISATA;S1;2,599009901;21;808;656.18;FALSE
UNIVERSITAS GADJAH MADA;PEMBANGUNAN EKONOMI KEWILAYAHAN;D4;13,10043668;30;229;597.12;FALSE
UNIVERSITAS GADJAH MADA;PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN;S1;4,225352113;24;568;603.14;FALSE
UNIVERSITAS GADJAH MADA;PEMBANGUNAN WILAYAH;S1;7,44047619;25;336;689.92;FALSE
UNIVERSITAS GADJAH MADA;PENGELOLAAN ARSIP DAN REKAMAN INFORMASI;D4;3,066439523;18;587;611.51;FALSE
UNIVERSITAS GADJAH MADA;PENGELOLAAN HUTAN;D4;9,642857143;27;280;647.36;FALSE
UNIVERSITAS GADJAH MADA;PENGEMBANGAN PRODUK AGROINDUSTRI;D4;13,91752577;27;194;596.3;FALSE
UNIVERSITAS GADJAH MADA;PENYULUHAN DAN KOMUNIKASI PERTANIAN;S1;9,523809524;12;126;640.88;FALSE
UNIVERSITAS GADJAH MADA;PERBANKAN;D4;7,792207792;30;385;597.58;FALSE
UNIVERSITAS GADJAH MADA;PERENCANAAN WILAYAH DAN KOTA;S1;3,296703297;21;637;597.67;FALSE
UNIVERSITAS GADJAH MADA;POLITIK DAN PEMERINTAHAN;S1;3,870967742;24;620;663.96;FALSE
UNIVERSITAS GADJAH MADA;PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN);S1;17,1641791;23;134;660.04;FALSE
UNIVERSITAS GADJAH MADA;PSIKOLOGI;S1;1,772217879;68;3837;663.59;FALSE
UNIVERSITAS GADJAH MADA;SASTRA ARAB;S1;4,6875;21;448;590.23;FALSE
UNIVERSITAS GADJAH MADA;SASTRA INGGRIS;S1;2,840909091;20;704;801.63;FALSE
UNIVERSITAS GADJAH MADA;SEJARAH;S1;7,462686567;15;201;718.09;FALSE
UNIVERSITAS GADJAH MADA;SISTEM INFORMASI GEOGRAFIS;D4;7,228915663;18;249;629.96;FALSE
UNIVERSITAS GADJAH MADA;SOSIOLOGI;S1;6,963788301;25;359;622.15;FALSE
UNIVERSITAS GADJAH MADA;STATISTIKA;S1;2,975206612;18;605;688.41;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK BIOMEDIS;S1;4,204204204;14;333;751.6;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK ELEKTRO;S1;4,513888889;26;576;673.98;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK FISIKA;S1;14,4295302;43;298;667.32;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK GEODESI;S1;6,883365201;36;523;663.06;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK GEOLOGI;S1;5,082417582;37;728;657.45;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK INDUSTRI;S1;3,468208092;42;1211;683.99;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK INFRASTRUKTUR LINGKUNGAN;S1;8,968609865;20;223;645.89;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK KIMIA;S1;7,118644068;42;590;730.54;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK MESIN;S1;7,071960298;57;806;690.04;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK NUKLIR;S1;4,424778761;15;339;661.84;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK PENGELOLAAN DAN PEMELIHARAAN INFRASTRUKTUR SIPIL;D4;8;20;250;738.09;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK PENGELOLAAN DAN PERAWATAN ALAT BERAT;D4;8,780487805;18;205;725.85;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK PERTANIAN;S1;11,89591078;32;269;638.95;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK SIPIL;S1;3,293918919;39;1184;682.64;FALSE
UNIVERSITAS GADJAH MADA;TEKNIK SUMBER DAYA AIR;S1;#VALUE!;20;(Prodi Baru);603.14;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI HASIL PERIKANAN;S1;11,2195122;23;205;623.49;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI INDUSTRI PERTANIAN;S1;10,67961165;33;309;653.8;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI INFORMASI;S1;1,493394601;26;1741;685.93;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI PANGAN DAN HASIL PERTANIAN;S1;3,909952607;33;844;671.93;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI REKAYASA ELEKTRO;D4;12,29050279;22;179;591.56;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI REKAYASA INSTRUMENTASI DAN KONTROL;D4;14,1025641;22;156;593.38;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI REKAYASA INTERNET;D4;9,119496855;29;318;611.29;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI REKAYASA MESIN;D4;10,77844311;18;167;617.12;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI REKAYASA PELAKSANAAN BANGUNAN SIPIL;D4;10,15228426;20;197;599.33;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI REKAYASA PERANGKAT LUNAK;D4;5,263157895;29;551;570.4;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI SURVEI DAN PEMETAAN DASAR;D4;11,76470588;20;170;569.99;FALSE
UNIVERSITAS GADJAH MADA;TEKNOLOGI VETERINER;D4;14,43850267;27;187;625.26;FALSE
UNIVERSITAS HALUOLEO;ADMINISTRASI BISNIS;S1;15,07760532;68;451;630.38;FALSE
UNIVERSITAS HALUOLEO;AGRIBISNIS;S1;64,51612903;40;62;589.88;FALSE
UNIVERSITAS HALUOLEO;AGROBISNIS PERIKANAN;S1;400;24;6;511.41;FALSE
UNIVERSITAS HALUOLEO;AGROTEKNOLOGI / AGROEKOTEKNOLOGI;S1;133,3333333;32;24;531.83;FALSE
UNIVERSITAS HALUOLEO;AKUTANSI;S1;14,85148515;90;606;641.96;FALSE
UNIVERSITAS HALUOLEO;ANTROPOLOGI SOSIAL;S1;200;40;20;636.22;FALSE
UNIVERSITAS HALUOLEO;ARKEOLOGI;S1;126,3157895;24;19;543.4;FALSE
UNIVERSITAS HALUOLEO;BIOLOGI;S1;88,88888889;32;36;516.79;FALSE
UNIVERSITAS HALUOLEO;BIOTEKNOLOGI;S1;121,7391304;28;23;639.57;FALSE
UNIVERSITAS HALUOLEO;BUDIDAYA PERAIRAN;S1;266,6666667;24;9;602.36;FALSE
UNIVERSITAS HALUOLEO;EKONOMI PEMBANGUNAN;S1;63,29113924;100;158;528.15;FALSE
UNIVERSITAS HALUOLEO;FARMASI;S1;12,98701299;100;770;529.07;FALSE
UNIVERSITAS HALUOLEO;FISIKA;S1;300;24;8;640.47;FALSE
UNIVERSITAS HALUOLEO;GEOGRAFI;S1;76,19047619;32;42;518.51;FALSE
UNIVERSITAS HALUOLEO;GIZI;S1;10,63122924;32;301;570.34;FALSE
UNIVERSITAS HALUOLEO;ILMU ADMINISTRASI NEGARA;S1;33,83084577;68;201;625.31;FALSE
UNIVERSITAS HALUOLEO;ILMU DAN TEKNOLOGI PANGAN;S1;166,6666667;40;24;633.21;FALSE
UNIVERSITAS HALUOLEO;ILMU HUKUM;S1;22,95552367;160;697;625.0;FALSE
UNIVERSITAS HALUOLEO;ILMU KELAUTAN;S1;120;24;20;616.77;FALSE
UNIVERSITAS HALUOLEO;ILMU KEOLAHRAGAAN;S1;31,57894737;48;152;636.27;FALSE
UNIVERSITAS HALUOLEO;ILMU KESEHATAN MASYARAKAT;S1;17,61006289;140;795;582.06;FALSE
UNIVERSITAS HALUOLEO;ILMU KESEJAHTERAAN SOSIAL;S1;123,8095238;52;42;520.16;FALSE
UNIVERSITAS HALUOLEO;ILMU KOMPUTER;S1;4,938271605;32;648;541.23;FALSE
UNIVERSITAS HALUOLEO;ILMU KOMUNIKASI;S1;18,47826087;68;368;644.15;FALSE
UNIVERSITAS HALUOLEO;ILMU LINGKUNGAN;S1;133,3333333;48;36;619.46;FALSE
UNIVERSITAS HALUOLEO;ILMU PEMERINTAHAN;S1;60;60;100;640.07;FALSE
UNIVERSITAS HALUOLEO;ILMU POLITIK;S1;90,90909091;60;66;619.14;FALSE
UNIVERSITAS HALUOLEO;ILMU SEJARAH;S1;252,6315789;48;19;530.55;FALSE
UNIVERSITAS HALUOLEO;ILMU TANAH;S1;120;24;20;644.74;FALSE
UNIVERSITAS HALUOLEO;JURNALISTIK;S1;179,3103448;52;29;630.95;FALSE
UNIVERSITAS HALUOLEO;KEHUTANAN;S1;107,1428571;60;56;522.29;FALSE
UNIVERSITAS HALUOLEO;KEPERAWATAN;S1;5,347593583;20;374;590.7;FALSE
UNIVERSITAS HALUOLEO;KIMIA;S1;128;32;25;577.29;FALSE
UNIVERSITAS HALUOLEO;MANAJEMEN;S1;8,896797153;100;1124;634.38;FALSE
UNIVERSITAS HALUOLEO;MANAJEMEN SUMBERDAYA PERAIRAN;S1;218,1818182;24;11;554.49;FALSE
UNIVERSITAS HALUOLEO;MATEMATIKA;S1;114,2857143;24;21;627.81;FALSE
UNIVERSITAS HALUOLEO;OSEANOGRAFI;S1;266,6666667;16;6;646.61;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN BAHASA, SASTRA INDO. & DAERAH;S1;19,35483871;48;248;626.45;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN GURU SEKOLAH DASAR (PGSD) S1;S1;6,487488415;70;1079;543.47;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI;S1;13,54581673;34;251;578.32;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN PANCASILA & KEWARGANEGARAAN;S1;18,60465116;40;215;566.63;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN AKUNTANSI;S1;49,38271605;40;81;538.43;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN ANAK USIA DINI (PG-PAUD);S1;33,8028169;48;142;534.79;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN BAHASA INGGRIS;S1;26,81564246;48;179;546.05;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN BIMBINGAN DAN KONSELING;S1;6,884681583;40;581;564.09;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN BIOLOGI;S1;32,65306122;32;98;553.15;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN DOKTER;S1;5,755395683;48;834;613.35;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN EKONOMI;S1;47,05882353;48;102;604.15;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN FISIKA;S1;105,2631579;40;38;535.76;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN GEOGRAFI;S1;40,74074074;44;108;649.69;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN KIMIA;S1;141,6666667;34;24;648.13;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN MATEMATIKA;S1;26,34730539;44;167;598.68;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN SEJARAH;S1;30,07518797;40;133;568.32;FALSE
UNIVERSITAS HALUOLEO;PENDIDIKAN VOKASIONAL TEKNIK;S1;400;32;8;614.45;FALSE
UNIVERSITAS HALUOLEO;PENYULUHAN PERTANIAN;S1;88,88888889;40;45;511.38;FALSE
UNIVERSITAS HALUOLEO;PERIKANAN TANGKAP;S1;533,3333333;16;3;611.58;FALSE
UNIVERSITAS HALUOLEO;PERPUSTAKAAN DAN ILMU INFORMASI;S1;73,23943662;52;71;532.48;FALSE
UNIVERSITAS HALUOLEO;PETERNAKAN;S1;500;80;16;558.45;FALSE
UNIVERSITAS HALUOLEO;PROTEKSI TANAMAN;S1;171,4285714;24;14;510.33;FALSE
UNIVERSITAS HALUOLEO;PSIKOLOGI;S1;10,09463722;32;317;611.67;FALSE
UNIVERSITAS HALUOLEO;REKAYASA INFRASTRUKTUR DAN LINGKUNGAN;S1;133,3333333;32;24;643.61;FALSE
UNIVERSITAS HALUOLEO;SASTRA INDONESIA;S1;218,1818182;48;22;597.22;FALSE
UNIVERSITAS HALUOLEO;SASTRA INGGRIS;S1;83,11688312;64;77;592.85;FALSE
UNIVERSITAS HALUOLEO;SASTRA PRANCIS;S1;400;12;3;629.33;FALSE
UNIVERSITAS HALUOLEO;SOSIOLOGI;S1;76,47058824;52;68;611.02;FALSE
UNIVERSITAS HALUOLEO;STATISTIKA;D3;3,908794788;24;614;575.79;FALSE
UNIVERSITAS HALUOLEO;STATISTIKA;S1;34,7826087;32;92;603.12;FALSE
UNIVERSITAS HALUOLEO;TEKNIK ARSITEKTUR;D3;4,929577465;28;568;635.34;FALSE
UNIVERSITAS HALUOLEO;TEKNIK ARSITEKTUR;S1;20;32;160;599.1;FALSE
UNIVERSITAS HALUOLEO;TEKNIK ELEKTRO;S1;40,81632653;40;98;634.59;FALSE
UNIVERSITAS HALUOLEO;TEKNIK ELEKTRONIKA;D3;7,329842932;28;382;605.92;FALSE
UNIVERSITAS HALUOLEO;TEKNIK GEOFISIKA;S1;120;24;20;603.36;FALSE
UNIVERSITAS HALUOLEO;TEKNIK GEOLOGI;S1;10,09463722;32;317;561.85;FALSE
UNIVERSITAS HALUOLEO;TEKNIK INFORMATIKA;S1;4,895960832;40;817;572.48;FALSE
UNIVERSITAS HALUOLEO;TEKNIK KELAUTAN;S1;100;32;32;620.39;FALSE
UNIVERSITAS HALUOLEO;TEKNIK MESIN;D3;8,152173913;30;368;607.44;FALSE
UNIVERSITAS HALUOLEO;TEKNIK MESIN;S1;22,85714286;32;140;570.55;FALSE
UNIVERSITAS HALUOLEO;TEKNIK PERTAMBANGAN;S1;3,931203931;32;814;604.72;FALSE
UNIVERSITAS HALUOLEO;TEKNIK SIPIL;D3;2,064896755;28;1356;628.49;FALSE
UNIVERSITAS HALUOLEO;TEKNIK SIPIL;S1;8,230452675;40;486;596.84;FALSE
UNIVERSITAS HALUOLEO;TEKNOLOGI HASIL PERIKANAN;S1;200;16;8;566.91;FALSE
UNIVERSITAS HALUOLEO;TRADISI LISAN;S1;125;20;16;573.83;FALSE
UNIVERSITAS HASANUDDIN;ADMINISTRASI PUBLIK;S1;8,185538881;60;733;593.38;FALSE
UNIVERSITAS HASANUDDIN;AGRIBISNIS;S1;26,20087336;120;458;611.29;FALSE
UNIVERSITAS HASANUDDIN;AGRIBISNIS PANGAN;D4;6,18556701;30;485;529.18;FALSE
UNIVERSITAS HASANUDDIN;AGRIBISNIS PETERNAKAN;D4;9,505703422;25;263;597.12;FALSE
UNIVERSITAS HASANUDDIN;AGROBISNIS PERIKANAN;S1;125,5555556;113;90;590.39;FALSE
UNIVERSITAS HASANUDDIN;AGROTEKNOLOGI;S1;56,56934307;155;274;617.12;FALSE
UNIVERSITAS HASANUDDIN;AKUNTANSI;S1;9,558823529;130;1360;599.33;FALSE
UNIVERSITAS HASANUDDIN;ANTROPOLOGI;S1;38,20224719;68;178;575.73;FALSE
UNIVERSITAS HASANUDDIN;ARKEOLOGI;S1;84,50704225;60;71;570.4;FALSE
UNIVERSITAS HASANUDDIN;BAHASA MANDARIN DAN KEBUDAYAAN TIONGKOK;S1;37,5;60;160;569.99;FALSE
UNIVERSITAS HASANUDDIN;BIOLOGI;S1;46,70658683;78;167;625.26;FALSE
UNIVERSITAS HASANUDDIN;BUDI DAYA LAUT DAN PANTAI;D4;21,08433735;35;166;559.4;FALSE
UNIVERSITAS HASANUDDIN;BUDIDAYA PERAIRAN;S1;176,5625;113;64;612.94;FALSE
UNIVERSITAS HASANUDDIN;DESTINASI PARIWISATA;D4;2,916160389;24;823;611.51;FALSE
UNIVERSITAS HASANUDDIN;EKONOMI DAN BISNIS ISLAM;S1;11,17824773;37;331;608.41;FALSE
UNIVERSITAS HASANUDDIN;EKONOMI PEMBANGUNAN;S1;28,19548872;150;532;562.77;FALSE
UNIVERSITAS HASANUDDIN;FARMASI;S1;3,829583533;80;2089;562.87;FALSE
UNIVERSITAS HASANUDDIN;FISIKA;S1;64,94845361;63;97;562.57;FALSE
UNIVERSITAS HASANUDDIN;FISOTERAPI;S1;9,240246407;45;487;587.01;FALSE
UNIVERSITAS HASANUDDIN;GEOFISIKA;S1;58,82352941;60;102;542.7;FALSE
UNIVERSITAS HASANUDDIN;HUKUM ADMINISTRASI NEGARA;S1;8,650519031;50;578;508.54;FALSE
UNIVERSITAS HASANUDDIN;ILMU AKTUARIA;S1;24,09090909;53;220;566.71;FALSE
UNIVERSITAS HASANUDDIN;ILMU DAN TEKNOLOGI PANGAN;S1;24,9201278;78;313;555.15;FALSE
UNIVERSITAS HASANUDDIN;ILMU GIZI;S1;8,720930233;75;860;505.92;FALSE
UNIVERSITAS HASANUDDIN;ILMU HUBUNGAN INTERNASIONAL;S1;8,588957055;70;815;649.78;FALSE
UNIVERSITAS HASANUDDIN;ILMU HUKUM;S1;7,512733447;177;2356;621.43;FALSE
UNIVERSITAS HASANUDDIN;ILMU KELAUTAN;S1;97,91666667;188;192;544.23;FALSE
UNIVERSITAS HASANUDDIN;ILMU KEPERAWATAN;S1;7,589285714;85;1120;639.22;FALSE
UNIVERSITAS HASANUDDIN;ILMU KOMUNIKASI;S1;6,065857886;70;1154;606.91;FALSE
UNIVERSITAS HASANUDDIN;ILMU PEMERINTAHAN;S1;16,91919192;67;396;561.8;FALSE
UNIVERSITAS HASANUDDIN;ILMU POLITIK;S1;19,60784314;50;255;635.44;FALSE
UNIVERSITAS HASANUDDIN;ILMU SEJARAH;S1;67,94871795;53;78;582.8;FALSE
UNIVERSITAS HASANUDDIN;ILMU TANAH;S1;86,73469388;85;98;573.69;FALSE
UNIVERSITAS HASANUDDIN;KEDOKTERAN HEWAN;S1;15,36643026;65;423;556.49;FALSE
UNIVERSITAS HASANUDDIN;KEHUTANAN;S1;35,79545455;189;528;640.2;FALSE
UNIVERSITAS HASANUDDIN;KESEHATAN MASYARAKAT;S1;9,029927761;175;1938;622.15;FALSE
UNIVERSITAS HASANUDDIN;KIMIA;S1;37,28813559;66;177;564.53;FALSE
UNIVERSITAS HASANUDDIN;KONSERVASI HUTAN;S1;67,64705882;46;68;511.09;FALSE
UNIVERSITAS HASANUDDIN;MANAJEMEN;S1;7,356547327;150;2039;620.63;FALSE
UNIVERSITAS HASANUDDIN;MANAJEMEN SUMBERDAYA PERAIRAN;S1;91,12903226;113;124;592.19;FALSE
UNIVERSITAS HASANUDDIN;MATEMATIKA;S1;45,80152672;60;131;527.51;FALSE
UNIVERSITAS HASANUDDIN;PARAMEDIK VETERINER;D4;16,43835616;24;146;647.36;FALSE
UNIVERSITAS HASANUDDIN;PARIWISATA;S1;20,67669173;55;266;611.86;FALSE
UNIVERSITAS HASANUDDIN;PEMANFAATAN SUMBERDAYA PERIKANAN;S1;185,2459016;113;61;601.29;FALSE
UNIVERSITAS HASANUDDIN;PENDIDIKAN DOKTER;S1;3,738584475;131;3504;519.16;FALSE
UNIVERSITAS HASANUDDIN;PENDIDIKAN DOKTER GIGI;S1;4,517221909;80;1771;543.84;FALSE
UNIVERSITAS HASANUDDIN;PENGINDERAAN JAUH DAN SISTEM INFORMASI GEOGRAFIS;D4;#VALUE!;28;–;596.3;FALSE
UNIVERSITAS HASANUDDIN;PERENCANAAN WILAYAH DAN KOTA;S1;15,14285714;53;350;622.08;FALSE
UNIVERSITAS HASANUDDIN;PETERNAKAN;S1;63,23987539;203;321;645.89;FALSE
UNIVERSITAS HASANUDDIN;PROTEKSI TANAMAN;S1;136,6666667;82;60;645.83;FALSE
UNIVERSITAS HASANUDDIN;PSIKOLOGI;S1;4,166666667;53;1272;526.42;FALSE
UNIVERSITAS HASANUDDIN;REKAYASA KEHUTANAN;S1;59,375;57;96;584.32;FALSE
UNIVERSITAS HASANUDDIN;SASTRA ARAB;S1;35,25641026;55;156;592.1;FALSE
UNIVERSITAS HASANUDDIN;SASTRA DAERAH;S1;141,9354839;44;31;534.79;FALSE
UNIVERSITAS HASANUDDIN;SASTRA INDONESIA;S1;50,625;81;160;646.08;FALSE
UNIVERSITAS HASANUDDIN;SASTRA INGGRIS;S1;24,75;99;400;603.14;FALSE
UNIVERSITAS HASANUDDIN;SASTRA JEPANG;S1;57,55395683;80;139;551.73;FALSE
UNIVERSITAS HASANUDDIN;SASTRA PERANCIS;S1;162,962963;44;27;597.67;FALSE
UNIVERSITAS HASANUDDIN;SISTEM INFORMASI;S1;6,765899865;50;739;511.54;FALSE
UNIVERSITAS HASANUDDIN;SOSIOLOGI;S1;39,44444444;71;180;590.23;FALSE
UNIVERSITAS HASANUDDIN;STATISTIKA;S1;14,36781609;50;348;617.13;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK ARSITEKTUR;S1;11,78781925;60;509;713.34;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK ELEKTRO;S1;15,7807309;95;602;680.32;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK GEODESI;S1;#VALUE!;36;–;611.86;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK GEOLOGI;S1;9,502923977;65;684;695.71;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK INDUSTRI;S1;7,614213198;60;788;717.13;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK INFORMATIKA;S1;3,219315895;64;1988;623.59;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK KELAUTAN;S1;49,71098266;86;173;567.25;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK LINGKUNGAN;S1;13,3744856;65;486;661.57;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK MESIN;S1;14,73684211;70;475;584.32;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK METALURGI DAN MATERIAL;S1;#VALUE!;40;–;702,42;TRUE
UNIVERSITAS HASANUDDIN;TEKNIK PERKAPALAN;S1;19,35483871;60;310;609.51;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK PERTAMBANGAN;S1;2,908277405;52;1788;797.7;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK PERTANIAN;S1;31,87250996;80;251;616.51;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK SIPIL;S1;7,472959685;76;1017;748.43;FALSE
UNIVERSITAS HASANUDDIN;TEKNIK SISTEM PERKAPALAN;S1;44,07894737;67;152;582.73;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI AKUAKULTUR DAN PASCA PANEN PERIKANAN;D4;63,82978723;30;47;597.58;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI HASIL PERIKANAN;S1;141,509434;75;53;604.49;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI INDUSTRI PERTANIAN;S1;36,8852459;45;122;590.23;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI METALURGI EKSTRAKSI;D4;5,405405405;22;407;629.96;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI PAKAN TERNAK;D4;64,81481481;35;54;613.45;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI PRODUKSI TANAMAN PANGAN;D4;13,79310345;24;174;576.7;FALSE
UNIVERSITAS HASANUDDIN;TEKNOLOGI PRODUKSI TERNAK;D4;74,46808511;35;47;530.24;FALSE
UNIVERSITAS HASANUDDIN;TERAPI GIGI;D4;2,231075697;28;1255;591.56;FALSE
UNIVERSITAS INDONESIA;ADMINISTRASI ASURANSI & AKTUARIA;D3;40;30;75;551.72;FALSE
UNIVERSITAS INDONESIA;ADMINISTRASI KEUANGAN DAN PERBANKAN;D3;21,12676056;30;142;585.11;FALSE
UNIVERSITAS INDONESIA;ADMINISTRASI PERKANTORAN;D3;15,54404145;30;193;630.38;FALSE
UNIVERSITAS INDONESIA;ADMINISTRASI PERPAJAKAN;D3;8,797653959;30;341;655.9;FALSE
UNIVERSITAS INDONESIA;ADMINISTRASI RUMAH SAKIT;D3;14,35406699;30;209;656.46;FALSE
UNIVERSITAS INDONESIA;AKTUARIA;S1;4,718693285;26;551;605.18;FALSE
UNIVERSITAS INDONESIA;AKUNTANSI;D3;16,39344262;30;183;716.32;FALSE
UNIVERSITAS INDONESIA;AKUNTANSI;S1;4,497475906;98;2179;641.96;FALSE
UNIVERSITAS INDONESIA;ANTROPOLOGI SOSIAL;S1;4,285714286;21;490;672.61;FALSE
UNIVERSITAS INDONESIA;ARKEOLOGI INDONESIA;S1;10,041841;24;239;595.64;FALSE
UNIVERSITAS INDONESIA;ARSITEKTUR;S1;4,358353511;36;826;679.35;FALSE
UNIVERSITAS INDONESIA;ARSITEKTUR INTERIOR;S1;3,734439834;18;482;681.69;FALSE
UNIVERSITAS INDONESIA;BAHASA DAN KEBUDAYAAN KOREA;S1;3,197158082;18;563;763.28;FALSE
UNIVERSITAS INDONESIA;BIOLOGI;S1;16,03053435;42;262;639.57;FALSE
UNIVERSITAS INDONESIA;BISNIS ISLAM;S1;3,872437358;17;439;657.97;FALSE
UNIVERSITAS INDONESIA;BISNIS KREATIF;D4;4,97382199;38;764;730.51;FALSE
UNIVERSITAS INDONESIA;FARMASI;S1;4,860486049;54;1111;722,41;TRUE
UNIVERSITAS INDONESIA;FISIKA;S1;16,16541353;43;266;686.72;FALSE
UNIVERSITAS INDONESIA;FISIOTERAPI;D4;9,31372549;38;408;656.0;FALSE
UNIVERSITAS INDONESIA;GEOFISIKA;S1;13,70558376;27;197;645.62;FALSE
UNIVERSITAS INDONESIA;GEOGRAFI;S1;11,29032258;42;372;654.35;FALSE
UNIVERSITAS INDONESIA;GEOLOGI;S1;8,150470219;26;319;682.11;FALSE
UNIVERSITAS INDONESIA;GIZI;S1;2,869440459;20;697;644.15;FALSE
UNIVERSITAS INDONESIA;HUBUNGAN MASYARAKAT;D3;12,98701299;30;231;560.34;FALSE
UNIVERSITAS INDONESIA;ILMU ADMINISTRASI FISKAL;S1;7,464324918;68;911;793.71;FALSE
UNIVERSITAS INDONESIA;ILMU ADMINISTRASI NEGARA;S1;7,142857143;68;952;772.47;FALSE
UNIVERSITAS INDONESIA;ILMU ADMINISTRASI NIAGA;S1;6,862745098;63;918;640.07;FALSE
UNIVERSITAS INDONESIA;ILMU EKONOMI;S1;6,719817768;59;878;777.21;FALSE
UNIVERSITAS INDONESIA;ILMU EKONOMI ISLAM;S1;5,029585799;17;338;787.21;FALSE
UNIVERSITAS INDONESIA;ILMU FILSAFAT;S1;7,871720117;27;343;720.92;FALSE
UNIVERSITAS INDONESIA;ILMU HUBUNGAN INTERNASIONAL;S1;1,599326599;19;1188;807.4;FALSE
UNIVERSITAS INDONESIA;ILMU HUKUM;S1;4,916618746;171;3478;853.02;FALSE
